ival_tbl1,ival_tbl2,ival_tbl3
2019_BCIPJ_SEP_A1_R_5_pinkiefinger_rVPody.mat,16.179679144385,17.7711229946524
2019_BCIPJ_SEP_M_5_pinkiefinger_rVPoeu.mat,15.3839572192513,16.9754010695187
2019_BCIPJ_SEP_B1_R_1_pinkiefinger_rVPoev.mat,18.5668449197861,20.1582887700535
2019_BCIPJ_SEP_1_5_pinkiefinger_rVPoew.mat,16.9754010695187,18.5668449197861
2019_BCIPJ_SEP_B6_1_pinkiefinger_rVPoey.mat,15.3839572192513,16.9754010695187
2019_BCIPJ_SEP_2_1_pinkiefinger_rVPoex.mat,16.9754010695187,18.5668449197861
2019_BCIPJ_SEP_B_1_pinkiefinger_rVPoez.mat,15.3839572192513,16.9754010695187
