ival_tbl1,ival_tbl2,ival_tbl3
2019_BCIPJ_SEP_A1_R_3_idxfinder_rVPody.mat,21.7497326203209,23.3411764705882
2019_BCIPJ_SEP_M_3_idxfinder_rVPoeu.mat,22.5454545454545,24.1368983957219
2019_BCIPJ_SEP_B1_R_3_idxfinder_rVPoev.mat,22.5454545454545,24.1368983957219
2019_BCIPJ_SEP_1_3_idxfinder_rVPoew.mat,22.5454545454545,24.1368983957219
2019_BCIPJ_SEP_B6_3_idxfinder_rVPoey.mat,21.7497326203209,23.3411764705882
2019_BCIPJ_SEP_2_3_idxfinder_rVPoex.mat,16.9754010695187,18.5668449197861
2019_BCIPJ_SEP_B_3_idxfinder_rVPoez.mat,16.179679144385,17.7711229946524
