ival_tbl1,ival_tbl2,ival_tbl3
2019_BCIPJ_SEP_A1_R_4_foot_rVPody.mat,43.2342245989305,44.8256684491979
2019_BCIPJ_SEP_M_4_foot_rVPoeu.mat,35.2770053475936,36.868449197861
2019_BCIPJ_SEP_B1_R_2_foot_rVPoev.mat,42.4385026737968,44.0299465240642
2019_BCIPJ_SEP_1_4_foot_rVPoew.mat,39.255614973262,40.8470588235294
2019_BCIPJ_SEP_B6_2_foot_rVPoey.mat,42.4385026737968,44.0299465240642
2019_BCIPJ_SEP_2_2_foot_rVPoex.mat,44.8256684491979,46.4171122994652
2019_BCIPJ_SEP_B_2_foot_rVPoez.mat,44.8256684491979,46.4171122994652
