score_ 1,score_ 2,score_ 3,score_ 4,score_ 5,score_ 6,score_ 7,score_ 8,score_ 9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,score_26,score_27,score_28,score_29,score_30,score_31,score_32,score_33,score_34,score_35,score_36,score_37,score_38,score_39,score_40,score_41,score_42,score_43,score_44,score_45,score_46,score_47,score_48,score_49,score_50,score_51,score_52,score_53,score_54,score_55,score_56,score_57,score_58,score_59,score_60,score_61,score_62,score_63,score_64,score_65,score_66,score_67,score_68,score_69,peak_val,peak_clab,peak_time,ival_1,ival_2
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,5.60452900820125,-0,-0,-0,-0,-0,8.55701876530119,23.6214482648487,19.1576919834931,29.4450711111839,19.5530015132095,15.1330328551592,14.207857930544,19.3819357501411,29.2751264080712,20.7099328147713,1.5112739557021,-0,-0,7.91975132543771,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,29.4450711111839,C4,16.9754010695187,15.3839572192513,18.5668449197861
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,5.60452900820125,-0,-0,-0,-0,-0,8.55701876530119,-0,-0,-0,-0,-0,14.207857930544,19.3819357501411,29.2751264080712,20.7099328147713,1.5112739557021,-0,-0,7.91975132543771,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,29.2751264080712,C4,20.9540106951872,20.1582887700535,21.7497326203209
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,5.60452900820125,-0,-0,-0,-0,-0,8.55701876530119,-0,-0,-0,-0,-0,14.207857930544,-0,-0,-0,1.5112739557021,-0,-0,7.91975132543771,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,14.207857930544,C4,19.3625668449198,19.3625668449198,19.3625668449198
